TIPO;TIPO_GN;sug_token_set;sug_partial;sug_token_sort;sug_ratio
SURTIDAS;;('SURTIDO', 80);('SURTIDO', 86);('SURTIDO', 80);('SURTIDO', 80)
TEMPORADAS NAVIDAD;;('TEMPORADA NAVIDAD', 97);('TEMPORADA NAVIDAD', 94);('TEMPORADA NAVIDAD', 97);('TEMPORADA NAVIDAD', 97)
