MERCADO;MERCADO_GN
FARMACIAS BARRANQUILLA;FARMACIAS BARRANQUILLA
FARMACIAS BOGOTA;FARMACIAS BOGOTA
FARMACIAS CARTAGENA;FARMACIAS CARTAGENA
FARMACIAS MEDELLIN;FARMACIAS MEDELLIN
FARMACIAS SANTA MARTA;FARMACIAS SANTA MARTA
ATLANTICO DISCOUNTERS;ATLANTICO DISCOUNTERS
LLANOS DISCOUNTERS;LLANOS DISCOUNTERS
COLOMBIA SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;COLOMBIA SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
NEW COLOMBIA SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW COLOMBIA SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
COLOMBIA CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;COLOMBIA CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
NEW COLOMBIA CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW COLOMBIA CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
COLOMBIA OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;COLOMBIA OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
NEW COLOMBIA OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW COLOMBIA OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
COLOMBIA TRADICIONALES CONS LOCAL;COLOMBIA TRADICIONALES CONS LOCAL
COLOMBIA CONS LOCAL;COLOMBIA CONS LOCAL
COLOMBIA KIOSKOS CAJONEROS;COLOMBIA KIOSKOS CAJONEROS
COLOMBIA CONS LOCAL LICORERIA;COLOMBIA CONS LOCAL LICORERIA
ATLANTICO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN2;ATLANTICO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN2
NEW ATLANTICO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW ATLANTICO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
ATLANTICO CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;ATLANTICO CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
NEW ATLANTICO CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW ATLANTICO CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
ATLANTICO OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;ATLANTICO OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
NEW ATLANTICO OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW ATLANTICO OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
ATLANTICO TRADICIONALES CONS LOCAL;ATLANTICO TRADICIONALES CONS LOCAL
ATLANTICO CONS LOCAL;ATLANTICO CONS LOCAL
ATLANTICO CONS LOCAL LICORERIA;ATLANTICO CONS LOCAL LICORERIA
DPTO ATLANTICO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;DPTO ATLANTICO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
NEW DPTO ATLANTICO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW DPTO ATLANTICO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
RESTO DE COSTA ATLAN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;RESTO DE COSTA ATLAN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
NEW RESTO DE COSTA ATLAN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW RESTO DE COSTA ATLAN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
ATLANTICO METRO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;ATLANTICO METRO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
NEW ATLANTICO METRO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW ATLANTICO METRO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
ATLANTICO NORTE SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;ATLANTICO NORTE SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
NEW ATLANTICO NORTE SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW ATLANTICO NORTE SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
ATLANTICO SUR SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;ATLANTICO SUR SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
NEW ATLANTICO SUR SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW ATLANTICO SUR SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
ANTIOQUIA CHOCO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;ANTIOQUIA CHOCO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
NEW ANTIOQUIA CHOCO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW ANTIOQUIA CHOCO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
ANTIOQUIA CHOCO CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;ANTIOQUIA CHOCO CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
NEW ANTIOQUIA CHOCO CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW ANTIOQUIA CHOCO CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
ANTIOQUIA CHOCO OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;ANTIOQUIA CHOCO OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
NEW ANTIOQUIA CHOCO OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW ANTIOQUIA CHOCO OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
ANTIOQUIA CHOCO TRADICIONALES CONS LOCAL;ANTIOQUIA CHOCO TRADICIONALES CONS LOCAL
ANTIOQUIA CHOCO CONS LOCAL;ANTIOQUIA CHOCO CONS LOCAL
ANTIOQUIA CHOCO KIOSKOS CAJONEROS;ANTIOQUIA CHOCO KIOSKOS CAJONEROS
ANTIOQUIA CHOCO CONS LOCAL LICORERIA;ANTIOQUIA CHOCO CONS LOCAL LICORERIA
SANTANDERES SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;SANTANDERES SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
NEW SANTANDERES SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW SANTANDERES SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
SANTANDERES CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;SANTANDERES CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
NEW SANTANDERES CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW SANTANDERES CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
SANTANDERES OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;SANTANDERES OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
NEW SANTANDERES OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW SANTANDERES OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
SANTANDERES TRADICIONALES CONS LOCAL;SANTANDERES TRADICIONALES CONS LOCAL
SANTANDERES CONS LOCAL;SANTANDERES CONS LOCAL
SANTANDERES CONS LOCAL LICORERIA;SANTANDERES CONS LOCAL LICORERIA
CUNDI BOY SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;CUNDI BOY SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
NEW CUNDI BOY SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW CUNDI BOY SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
CUNDI BOY CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;CUNDI BOY CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
NEW CUNDI BOY CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW CUNDI BOY CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
CUNDI BOY OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;CUNDI BOY OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
NEW CUNDI BOY OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW CUNDI BOY OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
CUNDI BOY TRADICIONALES CONS LOCAL;CUNDI BOY TRADICIONALES CONS LOCAL
CUNDI BOY CONS LOCAL;CUNDI BOY CONS LOCAL
CUNDI BOY CONS LOCAL LICORERIA;CUNDI BOY CONS LOCAL LICORERIA
EJE CAFETERO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;EJE CAFETERO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
NEW EJE CAFETERO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW EJE CAFETERO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
EJE CAFETERO CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;EJE CAFETERO CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
NEW EJE CAFETERO CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW EJE CAFETERO CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
EJE CAFETERO OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;EJE CAFETERO OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
NEW EJE CAFETERO OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW EJE CAFETERO OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
EJE CAFETERO TRADICIONALES CONS LOCAL;EJE CAFETERO TRADICIONALES CONS LOCAL
EJE CAFETERO CONS LOCAL LICORERIA;EJE CAFETERO CONS LOCAL LICORERIA
CENTRO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;CENTRO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
NEW CENTRO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW CENTRO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
CENTRO CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;CENTRO CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
NEW CENTRO CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW CENTRO CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
CENTRO OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;CENTRO OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
NEW CENTRO OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW CENTRO OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
CENTRO TRADICIONALES CONS LOCAL;CENTRO TRADICIONALES CONS LOCAL
LLANOS SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;LLANOS SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
NEW LLANOS SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW LLANOS SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
LLANOS CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;LLANOS CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
NEW LLANOS CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW LLANOS CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
LLANOS OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;LLANOS OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
NEW LLANOS OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW LLANOS OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
LLANOS TRADICIONALES CONS LOCAL;LLANOS TRADICIONALES CONS LOCAL
PACIFICO SUP MIN TRA LIC KIO CAJ BAR REST;PACIFICO SUP MIN TRA LIC KIO CAJ BAR REST
NEW PACIFICO SUP MIN TRA LIC KIO CAJ BAR REST 72;NEW PACIFICO SUP MIN TRA LIC KIO CAJ BAR REST 72
PACIFICO CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;PACIFICO CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
NEW PACIFICO CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW PACIFICO CAP SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
PACIFICO OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;PACIFICO OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
NEW PACIFICO OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW PACIFICO OTROS MUN SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
PACIFICO TRADICIONALES CONS LOCAL;PACIFICO TRADICIONALES CONS LOCAL
PACIFICO CONS LOCAL;PACIFICO CONS LOCAL
PACIFICO CONS LOCAL LICORERIA;PACIFICO CONS LOCAL LICORERIA
DPTO VALLE PACIFICO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;DPTO VALLE PACIFICO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
NEW DPTO VALLE PACIFICO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW DPTO VALLE PACIFICO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
CAUCA NARINO PACIFICO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;CAUCA NARINO PACIFICO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
NEW CAUCA NARINO PACIFICO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW CAUCA NARINO PACIFICO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
10 CIUDADES METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN;10 CIUDADES METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN
NEW 10 CIUDADES METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72;NEW 10 CIUDADES METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72
B/QUILLA METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN;B/QUILLA METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN
NEW B/QUILLA METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72;NEW B/QUILLA METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72
BOGOTA METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN;BOGOTA METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN
NEW BOGOTA METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72;NEW BOGOTA METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72
B/MANGA METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN;B/MANGA METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN
NEW B/MANGA METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72;NEW B/MANGA METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72
CALI METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN;CALI METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN
NEW CALI METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72;NEW CALI METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72
CARTAGENA METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN;CARTAGENA METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN
NEW CARTAGENA METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72;NEW CARTAGENA METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72
IBAGUE METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN;IBAGUE METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN
NEW IBAGUE METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72;NEW IBAGUE METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72
CUCUTA METRO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN;CUCUTA METRO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN
NEW CUCUTA METRO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72;NEW CUCUTA METRO SUP MIN TRA LIC KIO CAJ BAR REST CAF/PAN 72
MEDELLIN METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN;MEDELLIN METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN
NEW MEDELLIN METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72;NEW MEDELLIN METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72
PEREIRA METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN;PEREIRA METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN
NEW PEREIRA METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72;NEW PEREIRA METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72
VILLAVICENCIO METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN;VILLAVICENCIO METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN
NEW VILLAVICENCIO METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72;NEW VILLAVICENCIO METRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72
BOGOTA SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN;BOGOTA SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN
NEW BOGOTA SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72;NEW BOGOTA SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72
BOGOTA NORTE SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN;BOGOTA NORTE SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN
NEW BOGOTA NORTE SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72;NEW BOGOTA NORTE SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72
BOGOTA SUR SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN;BOGOTA SUR SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN
NEW BOGOTA SUR SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72;NEW BOGOTA SUR SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72
BOGOTA ORIENTE SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN;BOGOTA ORIENTE SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN
NEW BOGOTA ORIENTE SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72;NEW BOGOTA ORIENTE SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72
BOGOTA OCCIDENTE SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN;BOGOTA OCCIDENTE SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN
NEW BOGOTA OCCIDENTE SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72;NEW BOGOTA OCCIDENTE SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72
CALI SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN;CALI SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN
NEW CALI SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72;NEW CALI SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72
CALI NORTE SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN;CALI NORTE SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN
NEW CALI NORTE SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72;NEW CALI NORTE SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72
CALI SUR SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN;CALI SUR SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN
NEW CALI SUR SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72;NEW CALI SUR SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72
CALI ORIENTE SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN;CALI ORIENTE SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN
NEW CALI ORIENTE SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72;NEW CALI ORIENTE SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72
MEDELLIN SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN;MEDELLIN SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN
NEW MEDELLIN SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72;NEW MEDELLIN SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72
MEDELLIN NORTE SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN;MEDELLIN NORTE SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN
NEW MEDELLIN NORTE SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72;NEW MEDELLIN NORTE SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72
MEDELLIN CENTRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN;MEDELLIN CENTRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN
NEW MEDELLIN CENTRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72;NEW MEDELLIN CENTRO SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72
MEDELLIN SUR SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN;MEDELLIN SUR SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN
NEW MEDELLIN SUR SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72;NEW MEDELLIN SUR SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72
B/QUILLA SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN;B/QUILLA SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN
NEW B/QUILLA SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72;NEW B/QUILLA SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72
B/QUILLA ORIENTE SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN;B/QUILLA ORIENTE SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN
NEW B/QUILLA ORIENTE SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72;NEW B/QUILLA ORIENTE SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72
B/QUILLA OCCIDENTE SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN;B/QUILLA OCCIDENTE SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN
NEW B/QUILLA OCCIDENTE SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72;NEW B/QUILLA OCCIDENTE SUP MIN TRA LIC KIOS CAJ BAR REST CAF/PAN 72
COLOMBIA TRAD CONS LOCAL LICO;COLOMBIA TRAD CONS LOCAL LICO
ATLANTICO TRAD CONS LOCAL LICO2;ATLANTICO TRAD CONS LOCAL LICO2
ATLANTICO KIOSKOS CAJONEROS2;ATLANTICO KIOSKOS CAJONEROS2
ANTIOQUIA CHOCO TRAD CONS LOCAL LICO;ANTIOQUIA CHOCO TRAD CONS LOCAL LICO
SANTANDERES TRAD CONS LOCAL LICO;SANTANDERES TRAD CONS LOCAL LICO
SANTANDERES KIOSKOS CAJONEROS;SANTANDERES KIOSKOS CAJONEROS
CUND/BOY TRAD CONS LOCAL LICO;CUND/BOY TRAD CONS LOCAL LICO
CUNDI BOY KIOSKOS CAJONEROS;CUNDI BOY KIOSKOS CAJONEROS
EJE CAFETERO TRAD CONS LOCAL LICO;EJE CAFETERO TRAD CONS LOCAL LICO
EJE CAFETERO CONS LOCAL;EJE CAFETERO CONS LOCAL
EJE CAFETERO KIOSKOS CAJONEROS;EJE CAFETERO KIOSKOS CAJONEROS
CENTRO TRAD CONS LOCAL LICO;CENTRO TRAD CONS LOCAL LICO
CENTRO CONS LOCAL;CENTRO CONS LOCAL
CENTRO KIOSKOS CAJONEROS;CENTRO KIOSKOS CAJONEROS
CENTRO CONS LOCAL LICORERIA;CENTRO CONS LOCAL LICORERIA
LLANOS TRAD CONS LOCAL LICO;LLANOS TRAD CONS LOCAL LICO
LLANOS CONS LOCAL;LLANOS CONS LOCAL
LLANOS KIOSKOS CAJONEROS;LLANOS KIOSKOS CAJONEROS
LLANOS CONS LOCAL LICORERIA;LLANOS CONS LOCAL LICORERIA
PACIFICO TRAD CONS LOCAL LICO;PACIFICO TRAD CONS LOCAL LICO
PACIFICO KIOSKOS CAJONEROS;PACIFICO KIOSKOS CAJONEROS
TOTAL 10 CIUDADES AREA METRO;TOTAL 10 CIUDADES AREA METRO
TOTAL BARRANQUILLA METRO;TOTAL BARRANQUILLA METRO
TOTAL BOGOTA METRO;TOTAL BOGOTA METRO
TOTAL BUCARAMANGA METRO;TOTAL BUCARAMANGA METRO
TOTAL CALI METRO METRO;TOTAL CALI METRO METRO
TOTAL CARTAGENA METRO;TOTAL CARTAGENA METRO
TOTAL CUCUTA METRO;TOTAL CUCUTA METRO
TOTAL IBAGUE METRO;TOTAL IBAGUE METRO
TOTAL MEDELLIN METRO;TOTAL MEDELLIN METRO
TOTAL PEREIRA METRO;TOTAL PEREIRA METRO
TOTAL VILLAVICENCIO METRO;TOTAL VILLAVICENCIO METRO
CONS LOCAL 10 CIUDADES METRO;CONS LOCAL 10 CIUDADES METRO
DROGUERIAS 10 CIUDADES;DROGUERIAS 10 CIUDADES
TOTAL 10 CIUDADES METRO AUTOSERVICIO;TOTAL 10 CIUDADES METRO AUTOSERVICIO
10 CIUDADES METRO SUPERMERCADOS CADENA;10 CIUDADES METRO SUPERMERCADOS CADENA
SUPERETES 10 CIUDADES;SUPERETES 10 CIUDADES
TRADICIONALES 10 CIUDADES;TRADICIONALES 10 CIUDADES
NEW TOTAL 10 CIUDADES AREA METRO HEL;NEW TOTAL 10 CIUDADES AREA METRO HEL
NEW TOTAL 10 CIUDADES METRO AUTOSERVICIO HEL;NEW TOTAL 10 CIUDADES METRO AUTOSERVICIO HEL
