TIPO;TIPO_GN
BARRAPACKS;BARRAPACKS
HELADO LECHE / PALETA LECHEPACKS;HELADO LECHE / PALETA LECHEPACKS
HELADO AGUA / PALETA AGUAPACKS;HELADO AGUA / PALETA AGUAPACKS
GALLETA SANDWICHPACKS;GALLETA SANDWICHPACKS
POSTRES;POSTRES
CASSATAPOSTRES;CASSATAPOSTRES
ROLLOPOSTRES;ROLLOPOSTRES
BARRAPOSTRES;BARRAPOSTRES
TORTAS;TORTAS
TORTATORTAS;TORTATORTAS
BARRAIMPULSO;BARRAIMPULSO
CONO DUROOTROS GRUPOS;CONO DUROOTROS GRUPOS
ANTOJAR;ANTOJAR
GALLETA SANDWICHANTOJAR;GALLETA SANDWICHANTOJAR
CONO BLANDOANTOJAR;CONO BLANDOANTOJAR
CREMA LECHEANTOJAR;CREMA LECHEANTOJAR
HELADO LECHE / PALETA LECHEANTOJAR;HELADO LECHE / PALETA LECHEANTOJAR
COMPARTIR;COMPARTIR
CASSATACOMPARTIR;CASSATACOMPARTIR
CREMA LECHECOMPARTIR;CREMA LECHECOMPARTIR
ROLLOCOMPARTIR;ROLLOCOMPARTIR
TORTACOMPARTIR;TORTACOMPARTIR
CONO BLANDOCOMPARTIR;CONO BLANDOCOMPARTIR
BARRACOMPARTIR;BARRACOMPARTIR
HELADO AGUA / PALETA AGUACOMPARTIR;HELADO AGUA / PALETA AGUACOMPARTIR
CREMA AGUACOMPARTIR;CREMA AGUACOMPARTIR
COMPLACER;COMPLACER
HELADO AGUA / PALETA AGUACOMPLACER;HELADO AGUA / PALETA AGUACOMPLACER
HELADO LECHE / PALETA LECHECOMPLACER;HELADO LECHE / PALETA LECHECOMPLACER
CONO DUROCOMPLACER;CONO DUROCOMPLACER
GRANIZADOCOMPLACER;GRANIZADOCOMPLACER
BARRACOMPLACER;BARRACOMPLACER
JUGAR;JUGAR
HELADO AGUA / PALETA AGUAJUGAR;HELADO AGUA / PALETA AGUAJUGAR
HELADO LECHE / PALETA LECHEJUGAR;HELADO LECHE / PALETA LECHEJUGAR
CREMA LECHEJUGAR;CREMA LECHEJUGAR
GALLETA SANDWICHJUGAR;GALLETA SANDWICHJUGAR
CONO BLANDOJUGAR;CONO BLANDOJUGAR
OTROS GRUPO;OTROS GRUPO
CONO BLANDOOTROS GRUPO;CONO BLANDOOTROS GRUPO
CONO DUROOTROS GRUPO;CONO DUROOTROS GRUPO
CREMA LECHEOTROS GRUPO;CREMA LECHEOTROS GRUPO
HELADO LECHE / PALETA LECHEOTROS GRUPO;HELADO LECHE / PALETA LECHEOTROS GRUPO
ROLLOOTROS GRUPO;ROLLOOTROS GRUPO
BARRAOTROS GRUPO;BARRAOTROS GRUPO
CASSATAOTROS GRUPO;CASSATAOTROS GRUPO
HELADO AGUA / PALETA AGUAOTROS GRUPO;HELADO AGUA / PALETA AGUAOTROS GRUPO
CREMA AGUAOTROS GRUPO;CREMA AGUAOTROS GRUPO
CONO BLANDOCOMPLACER;CONO BLANDOCOMPLACER
CASSATAOTROS GRUPOS;CASSATAOTROS GRUPOS
PAPPARDELLE;PAPPARDELLE
COQUILLETTES;COQUILLETTES
ESPIRALES;ESPIRALES
TORSADES;TORSADES
TORTAOTROS GRUPO;TORTAOTROS GRUPO
GALLETAS DULCES;GALLETAS DULCES
GALLETAS SALADAS;GALLETAS SALADAS
MACARRON QUESO;MACARRON QUESO
STROZZAPRETI;STROZZAPRETI
LUMACONI;LUMACONI
TRENETTE;TRENETTE
FILINI;FILINI
OTROS TIPOS B;OTROS TIPOS B
TROZOS DE CHOCOLATE;TROZOS DE CHOCOLATE
MANTEQUILLA;MANTEQUILLA
SALADAS;SALADAS
LIMON;LIMON
SALUDABLE;SALUDABLE
MALVAVISCOS;MALVAVISCOS
CHOCOLATE;CHOCOLATE
VAINILLA;VAINILLA
SORBETO;SORBETO
TROZO DE CHOCOLATE;TROZO DE CHOCOLATE
MARIA;MARIA
FRESA;FRESA
BARQUILLO;BARQUILLO
DEPOSITADAS;DEPOSITADAS
TEMPORADA NAVIDAD;TEMPORADA NAVIDAD
MILK;MILK
DARK/SEMIDARK;DARK/SEMIDARK
GRANOLA;GRANOLA
MALVAVISCO;MALVAVISCO
MIX PARA PASTELES;MIX PARA PASTELES
CREMA AGUALITROS PREMIUM;CREMA AGUALITROS PREMIUM
TRIPOLINA;TRIPOLINA
REMOLACHA;REMOLACHA
CERDO;CERDO
FRANKFURT;FRANKFURT
VIENA;VIENA
VIENA LIMON;VIENA LIMON
PATO;PATO
ALMENDRA;ALMENDRA
ARANDANO;ARANDANO
MACADAMIA;MACADAMIA
MARANON;MARANON
MEZCLA NUECES;MEZCLA NUECES
MEZCLA NUECES Y FRUTOS;MEZCLA NUECES Y FRUTOS
NUEZ;NUEZ
OTRAS SEMILLAS;OTRAS SEMILLAS
PISTACHO;PISTACHO
SEMILLAS DE GIRASOL;SEMILLAS DE GIRASOL
SOYA;SOYA
FRUTAS;FRUTAS
MEZCLAS;MEZCLAS
NUECES;NUECES
RECUBIERTO CHOCOLATE;RECUBIERTO CHOCOLATE
OTROS SEGMENTOS;OTROS SEGMENTOS
PEPINILLO;PEPINILLO
ZANAHORIA Y ARVEJAS;ZANAHORIA Y ARVEJAS
PENNE;PENNE
RUOTE;RUOTE
TOFE;TOFE
GALLETA SANDWICHOTROS GRUPO;GALLETA SANDWICHOTROS GRUPO
TOMATE;TOMATE
